F, (9,6)
F, (10,8)
F, (6,2)
F, (7,7)
F, (11,5)
F, (3,0)
V, (6,8)
F, (10,7)
F, (0,10)
F, (2,8)
V, (5,7)
F, (9,2)
F, (3,9)
F, (11,6)
F, (8,8)
F, (9,9)
F, (7,9)
F, (10,4)
F, (9,1)
F, (11,0)
F, (5,10)
F, (11,2)
F, (3,8)
F, (1,11)
F, (10,3)
F, (11,10)
F, (8,11)
V, (5,8)
F, (9,0)
F, (1,9)
F, (4,0)
F, (3,7)
F, (1,8)
F, (6,10)
F, (5,11)
F, (0,6)
F, (10,9)
F, (11,11)
V, (4,6)
F, (9,7)
F, (3,10)
F, (6,1)
F, (8,10)
F, (5,9)
F, (1,6)
F, (2,0)
V, (1,4)
F, (3,1)
F, (4,10)
F, (7,1)
F, (8,7)
F, (7,10)
F, (8,1)
V, (2,6)
F, (2,9)
F, (10,11)
F, (11,3)
V, (7,8)
F, (11,4)
F, (2,7)
F, (6,9)
F, (10,0)
F, (11,1)
F, (8,6)
F, (9,8)
F, (11,7)
F, (8,3)
F, (5,1)
F, (4,5)
F, (10,1)
F, (5,0)
F, (8,0)
F, (3,4)
F, (8,2)
F, (4,1)
F, (6,11)
F, (7,2)
F, (9,11)
F, (6,7)
F, (8,9)
F, (6,0)
V, (2,5)
F, (0,8)
F, (9,3)
F, (3,11)
V, (5,6)
F, (7,11)
F, (9,10)
F, (1,7)
F, (10,10)
F, (4,11)
F, (0,7)
V, (1,5)
F, (0,4)
F, (11,8)
F, (2,11)
F, (2,10)
F, (3,5)
F, (10,2)
F, (4,9)
F, (11,9)
F, (0,11)
F, (0,5)
F, (7,0)
F, (10,6)
F, (0,3)
F, (0,9)
F, (1,10)
F, (4,8)
F, (4,7)
V, (3,6)
F, (2,4)
V, (1,3)
F, (0,2)
F, (0,1)
F, (0,0)
F, (6,6)
F, (7,6)
F, (7,5)
F, (6,5)
F, (8,5)
F, (9,5)
F, (10,5)
F, (9,4)
F, (8,4)
F, (7,4)
F, (6,3)
F, (5,3)
F, (4,3)
F, (3,3)
F, (2,2)
V, (1,2)
F, (2,3)
F, (5,4)
F, (4,4)
S, (1,1)
V, (1,0)
F, (2,1)
F, (7,3)
F, (5,5)
F, (3,2)
F, (4,2)
F, (5,2)
F, (6,4)
